categorie,question,A,B,C,bonne_reponse,commentaire,source
Cat A - Deontologie et conformite,La médiation est un mode de :,Règlement des conflits devant les tribunaux administratifs,Règlement amiable des conflits,Règlement judiciaire des conflits,B,"La médiation implique la présence d'un médiateur neutre qui aide les parties en conflit à trouver une solution consensuelle sans passer par un jugement, ce qui est conforme à la définition d'un règlement amiable des conflits.",http://www.banque-france.fr/fr/instit/telechar/services/cmb_bilan_2008.pdf
Cat A - Deontologie et conformite,A quoi correspond le whistleblowing ou devoir d'alerte éthique au sein d'un établissement financier?,A la cellule de veille juridique et règlementaire,A un lanceur d'alerte qui interroge ou informe le responsable de la conformité de dysfonctionnements constatés,A la cellule chargée d'alerter les investisseurs sur les risques et dangers relatifs à leurs investissements,B,"Le whistleblowing permet à un employé de signaler éthiquement des irrégularités internes, renforçant ainsi la gouvernance et la transparence en alertant les responsables compétents sur des comportements illégaux ou non conformes, ce qui aide à maintenir l'intégrité de l'institution financière.",Articles L634-1 et suivants du CMF
Cat A - Deontologie et conformite,"Quel document un émetteur, dont les titres sont cotés sur un marché règlementé, doit-il tenir à disposition de l'AMF ?",Un organigramme complet de son organisation,"Une liste de ses collaborateurs, ou des tiers agissant en son nom, ayant accès aux informations privilégiées",Une liste complète des prestataires de services avec lesquels il est en relation,B,Les règles de transparence exigent que les émetteurs cotés préviennent les abus de marché. Maintenir cette liste facilite la surveillance par l'AMF et prévient potentiellement les délits d'initiés en identifiant ceux ayant accès à des données sensibles.,Règlement d'exécution n° 2016/347 de la Commission
Cat A - Deontologie et conformite,Quelle est l'une des principales missions de la fonction de conformité ?,Répondre aux réclamations des clients,Concevoir les nouveaux produits et services,Formuler et rédiger des procédures internes en phase avec la réglementation,C,"Les procédures internes assurent que les pratiques de l'entreprise respectent les lois et réglementations applicables, minimisant ainsi les risques légaux et réglementaires. Cela contribue à maintenir l'intégrité de l'entreprise et à protéger sa réputation.",reglement UE 2017/565 - art 22 / RG AMF art 312-1
Cat A - Deontologie et conformite,"A partir de quand, le client d'un PSI peut-il saisir le médiateur de l'AMF ?",Dès qu'il a un litige avec son prestataire de service,Dans un délai d'un mois après le constat de la source du litige,"Après une première démarche écrite auprès du PSI, mais qui s'avère insatisfaisante",C,"La saisie du médiateur de l'AMF est possible uniquement après une réclamation initiale écrite non résolue par le Prestataire de Services d'Investissement (PSI), car cette démarche permet de traiter d'abord le problème directement à la source avant de faire intervenir une tierce partie régulatrice.",Guide AMF ' le médiateur de l'AMF ' octobre 2014
Cat A - Deontologie et conformite,Quelle règle s'applique à la liste d'initiés établie par un PSI à l'occasion d'une opération financière ?,Elle doit être mise à jour régulièrement,"Elle est établie en deux étapes : au début de l'opération concernée, puis à sa clôture",Elle est établie une fois par an pour les opérations prévues dans l'année,A,"La mise à jour régulière de la liste d'initiés par un PSI assure la conformité avec les obligations réglementaires, maintient l'exactitude des informations et permet de contrôler efficacement la diffusion d'informations privilégiées afin d'éviter les abus de marché.",Article 18 §1 alinéa b) du règlement (UE) No 596/2014
Cat A - Deontologie et conformite,Dans quels cas les prestataires de services d'investissement sont-ils tenus d'avoir une procédure de traitement des réclamations ?,Pour les réclamations des clients non professionnels,Pour les réclamations des clients professionnels,"Pour les réclamations de tous les clients, quel que soit leur statut",C,Les prestataires de services d'investissement doivent maintenir une procédure de traitement des réclamations pour garantir la transparence et le respect des droits de tous les clients. Cette obligation contribue à renforcer la confiance et l'équité dans le secteur financier en offrant une voie de recours systématique.,321-40 RG de l'AMF
Cat A - Deontologie et conformite,"Lorsqu 'un client porte réclamation, le PSI doit accuser réception de la réclamation dans les dix jours ouvrables à compter de sa réception. Il doit ensuite faire parvenir sa réponse au client :",Dans les 2 mois à partir de la réception de la réclamation,Dans les 30 jours à partir de la réception de la réclamation,Dans les 6 mois à partir de la réception de la réclamation,A,"Les réglementations financières exigent que le PSI (Prestataire de Services d'Investissement) réponde aux réclamations des clients de manière structurée, avec des délais précis pour assurer une gestion efficace et équitable des griefs client, où le délai maximal autorisé est de deux mois.",Instruction AMF Traitement des réclamations - DOC-2012-07
Cat A - Deontologie et conformite,L'Autorité des marchés financiers (AMF) :,Est tenue de communiquer immédiatement leurs noms aux PSI concernés,Peut indemniser les lanceurs d'alertes,Traite en toute confidentialité les alertes relevant de sa compétence,C,L'AMF traite les alertes en toute confidentialité pour protéger l'identité des lanceurs d'alerte et préserver l'intégrité des investigations en évitant des fuites d'information qui pourraient compromettre les résultats des enquêtes en cours.,Site AMF - Lanceur d'alerte : notification de potentielles infractions à la réglementation - Publié le 14 décembre 2018
Cat A - Deontologie et conformite,Que signifient les expressions 'murailles de Chine' ou 'barrières à l'information'?,"L'identification de toute entité (secteur, service, département...) susceptible de détenir des informations privilégiées et la séparation de ces entités au sein desquelles des personnes concernées sont susceptibles de détenir des informations privilégiées",Le refus de communiquer aux clients des informations les concernant,La mise en place de procédures permettant d'éviter la fuite de capitaux de l'entreprise vers l'étranger,A,"Les ' murailles de Chine ' servent à prévenir les conflits d'intérêts et les abus d'information en isolant stratégiquement les groupes au sein d'une organisation qui détiennent des informations sensibles. Ainsi, cela assure que l'information privilégiée reste sécurisée et non accessible de manière inappropriée.","RG AMF, art. 315-15."
Cat A - Deontologie et conformite,Par qui est nommé le médiateur de l'AMF ?,Par le président de l'AMF après avis de l'ACPR,Par le président de l'AMF après avis du collège,Par le président de l'AMF après avis de l'ESMA,B,Le médiateur de l'AMF est nommé par le président de l'AMF pour assurer l'impartialité et l'indépendance dans la résolution des litiges entre investisseurs et acteurs du marché. L'avis du collège de l'AMF est consulté pour garantir un choix équilibré et consensuel.,CMF (art L. 621-19)
Cat A - Deontologie et conformite,"Afin de favoriser l'intégrité du marché et de servir au mieux les intérêts des clients, les Prestataires de Services d'Investissement (PSI) doivent agir de manière :","Honnête, louable et professionnelle","Honnête, loyale et professionnelle","Honnête, loyale et protectrice",B,"Les PSI doivent suivre une conduite honnête, loyale et professionnelle pour s’assurer que leurs actions soutiennent la confiance et la transparence du marché, tout en privilégiant les intérêts des clients, essentiels pour le maintien de relations durables et équitables sur les marchés financiers.",Art. L 533-1 et L 533-11 du CMF
Cat A - Deontologie et conformite,Quelle règle s'applique aux personnes travaillant dans la fonction conformité ?,Elles ne sont pas impliquées dans l'exécution des services et activités qu'elles contrôlent,Elles doivent être impliquées dans l'exécution des services et activités qu'elles contrôlent,"Elles peuvent être impliquées dans l'exécution de certains services et activités qu'elles contrôlent, sous réserve d'un accord écrit de l'AMF",A,"Cette règle assure l'indépendance nécessaire pour que les employés en charge de la conformité puissent évaluer objectivement les opérations sans conflit d'intérêts, garantissant ainsi l'intégrité et l'efficacité du contrôle interne.",article 22-3-d du règlement délégué 2017/565 de la Commission du 25 avril 2016.
Cat A - Deontologie et conformite,"Un établissement financier qui exerce différentes activités, par exemple pour compte propre et pour compte de clients :",Doit instaurer des mesures permettant d'empêcher les conflits d'intérêts avec ses clients,N'a aucune obligation règlementaire en la matière,Peut privilégier son compte propre,A,"La coexistence de multiples activités augmente le risque de conflits entre les intérêts du financier et ceux de ses clients. Instaurer des mesures préventives assure une équité, protégeant ainsi les intérêts des clients et renforçant la confiance et l'intégrité du système financier.",Point (56) de la partie introductive et article 13 quater alinéa 1 de la Directive 2014/65/UE du Parlement européen et du Conseil du 15 mai 2014 concernant les marchés d'instruments financiers (dite MIF2)
Cat A - Deontologie et conformite,"Lorsqu'un collaborateur signale un manquement au code de déontologie, il exerce :",Sa faculté d'alerte d'urgence,Sa faculté d'alerte hiérarchique,Sa faculté d'alerte éthique,C,"Signaler un manquement au code de déontologie constitue une alerte éthique, car cela implique de dénoncer des actions contraires aux normes éthiques établies de l'organisation, promouvant ainsi l'intégrité et la transparence.",CMF L634-1 et suivants / loi 2016/1691 art 16 et 17
Cat A - Deontologie et conformite,Quel est un des premiers effets de la saisine du médiateur de l'AMF ?,Elle déclenche le paiement d'un redevance de 450 €,La saisine fait l'objet d'une publication sur le site de l'AMF sans indication des motifs des parties,Elle suspend la prescription de l'action civile et administrative,C,"La saisine du médiateur de l'AMF interrompt temporairement les délais légaux pour engager une action civile ou administrative contre une partie, offrant ainsi du temps pour résoudre le litige sans la pression de ces échéances.",Art L621-19 du CMF
Cat A - Deontologie et conformite,Quelle est la mission du Responsable de la Conformité et du Contrôle Interne (RCCI) au sein d'une SGP ?,Contrôler et évaluer les mesures visant à détecter tout risque de non-conformité,Contrôler et évaluer chaque jour les résultats de gestion des gérants,Etablir et envoyer à l'AMF les éléments qui apparaitront dans le DICI de chaque OPC de la société de gestion.,A,"Le RCCI de SGP s'assure que la société respecte les lois et réglementations applicables. Il établit des contrôles pour prévenir les risques liés à la non-conformité, en garantissant ainsi l'intégrité des opérations et la protection des intérêts des clients.","Articles 321-31, 321-85 et 321-87 du RG AMF"
Cat A - Deontologie et conformite,Qu'est-ce que le 'whistleblowing' sur les marchés financiers ?,"Un dispositif qui permet de lancer, confidentiellement, à l'AMF des alertes sur des manquements à la déontologie des marchés financiers",Un dispositif de l'AMF qui permet à un employé de remonter confidentiellement des alertes auprès du contrôle interne,Le niveau supérieur du contrôle interne,A,"Le ' whistleblowing ' permet aux individus de signaler anonymement des activités suspectes ou illicites dans l'industrie financière à des autorités régulatrices comme l'AMF, aidant ainsi à maintenir l'intégrité des marchés financiers.",Instruction AMF DOC-2018-13 L'AMF a mis en place un dispositif lui permettant de recevoir et de traiter les alertes portant sur des potentiels manquements à la réglementation dont elle assure la surveillance
Cat A - Deontologie et conformite,La procédure de médiation interne est:,Payante selon l'importance du dossier,Payante uniquement pour les frais de constitution de dossier,Gratuite,C,"La médiation interne est souvent gratuite afin de promouvoir la résolution amiable des conflits au sein de l’entreprise, encourageant ainsi les employés à utiliser ce service sans se soucier des coûts. Cela aide à maintenir un environnement de travail harmonieux.",Voir le site de la médiation de l'AMF : https://www.amf-france.org/Le-mediateur-de-l-AMF/Presentation
Cat A - Deontologie et conformite,Parmi les règles de bonne conduite imposées par la directive MIF aux prestataires de services d'investissement figure l'obligation :,"De délivrer des informations correctes, claires et non trompeuses aux clients",De nommer un responsable de conformité pour chaque service d'investissement,De s'abstenir de commercialiser des produits risqués aux clients,A,"La directive MIF vise à assurer la transparence et la protection des investisseurs en obligeant les prestataires à fournir des informations précises et compréhensibles, évitant toute manipulation ou confusion pour le client.",Article 24 alinea 3 de la Directive 2014/65/UE du Parlement européen et du Conseil du 15 mai 2014 concernant les marchés d'instruments financiers (dite MIF2)
Cat A - Deontologie et conformite,"Parmi les domaines suivants, lequel entre dans le champ de compétence du médiateur de l'AMF ?",La fiscalité des produits financiers,L'assurance-vie investie en unités de compte,La commercialisation de produits financiers,C,"Le médiateur de l'Autorité des Marchés Financiers (AMF) est spécifiquement chargé de résoudre les litiges entre les investisseurs et les entités régulées, comme ceux liés à la commercialisation de produits financiers, en offrant un processus de médiation.",Charte de la médiation
Cat A - Deontologie et conformite,La saisine du médiateur de l'Autorité des Marchés Financiers est :,Ouverte uniquement aux professionnels des marchés financiers,Reçue de tout intéressé dont les réclamations entrent par leur objet dans sa compétence sous réserve qu'aucune procédure judiciaire n'ait été engagée,Une procédure créée uniquement pour répondre à une action de groupe,B,"La saisine du médiateur de l'AMF est possible pour toute personne affectée par des questions relevant de la régulation financière, à condition qu'aucun litige similaire ne soit déjà en cours de traitement devant les tribunaux, pour garantir la non-interférence des procédures.",CMF art. L. 621-19 - Charte de la Médiation de l'AMF
Cat A - Deontologie et conformite,Le dirigeant d'une société de gestion de portefeuille d'OPCVM peut-il exercer la fonction de responsable de la conformité et du contrôle interne?,"Oui, dans ce cas toutefois il devra nommer deux autres personnes responsables: l'une en charge du contrôle périodique et l'autre du contrôle permanent hors conformité","Oui, dans ce cas il doit également être responsable du contrôle périodique et du contrôle permanent hors conformité","Non, les fonctions de dirigeant et de responsable de la conformité et du contrôle interne sont incompatibles",B,"Dans le cadre de la gestion d'un OPCVM, le dirigeant ayant la double fonction doit assurer à la fois le contrôle permanent et le contrôle périodique pour garantir la conformité réglementaire continue et efficace de la société de gestion.",Article 321-90 RGAMF
Cat A - Deontologie et conformite,"Le médiateur de l'AMF, peut être saisi :",Uniquement par les personnes physiques,"Par tout épargnant, personne physique ou morale, quel que soit le montant du préjudice","Par tout épargnant, personne physique ou morale, quand le montant du préjudice est supérieur à 1000 €",B,"Le médiateur de l'AMF est accessible à tous les épargnants, individus ou entreprises, sans restriction de montant du préjudice, permettant ainsi une voie de recours pour toute problématique financière rencontrée avec des acteurs régulés par l'AMF.",Note AMF ' LE MÉDIATEUR DE L'AMF '
Cat A - Deontologie et conformite,Comment définir la déontologie pour un prestataire de services d'investissement (PSI) ?,Elle représente l'ensemble des valeurs de chaque salarié de ce PSI,Elle se définit comme l'ensemble des normes prudentielles à respecter vis-à-vis des clients 'de détail',La déontologie se définit comme l'ensemble des devoirs et des règles qu'impose à des professionnels l'exercice de leur métier,C,"La déontologie pour un PSI englobe les obligations éthiques et normes professionnelles spécifiques à leur domaine d’activité, garantissant ainsi l'intégrité et la transparence dans la gestion des services d'investissement.",https://www.afg.asso.fr/deontologie-et-gouvernement-dentreprise/deontologie-3/
Cat A - Deontologie et conformite,Les prestataires de services d'investissement doivent prendre toute mesure appropriée pour interdire à des personnes définies de réaliser certaines transactions personnelles mais qu'appelle-t-on une 'transaction personnelle' ?,Une opération dont le donneur d'ordre ou le bénéficiaire est une personne physique.,Une opération réalisée par une personne agissant dans le cadre de ses fonctions.,Une opération réalisée par une personne concernée agissant en dehors du cadre de ses fonctions.,C,"Une ' transaction personnelle ' se réfère à des opérations financières effectuées pour le compte propre de l'employé, hors des activités professionnelles régulières, susceptible d'entraîner des conflits d'intérêt avec l'employeur ou les clients.","RG AMF, art. 313-9."
Cat A - Deontologie et conformite,"Si un client engage une procédure judiciaire, il :",Peut simultanément s'adresser au médiateur de la consommation,Doit obligatoirement adhérer à une association de défense des consommateurs,Ne peut pas recourir à la médiation de la consommation,C,"Une fois une procédure judiciaire engagée, le litige entre les parties est pris en charge par le système judiciaire, ce qui exclut les modes de résolution amiable tels que la médiation de la consommation, destinés à résoudre les conflits avant qu'ils n'atteignent les tribunaux.","Portail de l'Économie, des Finances, de l'Action et des Comptes publics - Accueil de l'espace médiation de la consommation"
Cat A - Deontologie et conformite,Les procédures dites 'muraille de Chine' doivent permettre :,D'assurer la liquidité des marchés financiers,De prévenir la circulation indue d'informations privilégiées,De promouvoir la circulation de l'information financière au niveau international,B,"Les ' murailles de Chine ' dans les institutions financières sont des mesures pour séparer physiquement et informationnellement des divisions afin d'éviter le partage non autorisé d'informations sensibles, assurant la conformité avec la réglementation sur les informations privilégiées.",RG AMF art 315-1
Cat A - Deontologie et conformite,Les prestataires de services d'investissement (PSI) sont-ils soumis à des obligations réglementaires concernant le traitement des réclamations des clients ?,Il est obligatoire pour les prestataires de services d'investissement (PSI) de mettre en place une procédure de traitement des réclamations des clients,Le traitement des réclamations des clients relève de la seule appréciation du prestataire de services d'investissement (PSI),"Le règlement de l'AMF oblige uniquement le prestataire à encadrer l'information à donner au client sur le système de traitement des réclamations ainsi que les procédures à mettre en oeuvre pour un traitement efficace, égal et harmonisé",A,Les PSI doivent suivre des réglementations strictes pour assurer la transparence et la protection des investisseurs. Ceci inclut l'obligation de traiter les réclamations efficacement pour maintenir la confiance et respecter les normes établies par les autorités de régulation financière.,"RG AMF, art. 313-8."
Cat A - Deontologie et conformite,"Pour les prestataires de services d'investissement autre que les sociétés de gestion, selon quelle modalité l'AMF délivre-t-elle, en principe, la carte professionnelle de responsable de la conformité pour les services d'investissement au titulaire de ces",Organisation d'un examen professionnel,Sélection sur dossier,Tirage au sort,A,L'AMF organise un examen professionnel pour s'assurer que les individus possèdent les connaissances nécessaires et respectent les exigences réglementaires avant de délivrer la carte professionnelle de responsable de la conformité.,Article 312-29 RGAMF
Cat A - Deontologie et conformite,Dans quel cas le client d'un PSI peut-il recourir à la médiation de l'AMF ?,Pour une réclamation portant sur la gestion de portefeuille,Pour une réclamation concernant ses relevés de compte courant,Pour une réclamation portant sur un crédit,A,"La médiation de l'AMF est destinée à résoudre les litiges entre investisseurs et professionnels du secteur financier. La gestion de portefeuille implique des décisions d'investissement par le PSI, sujettes à contestation en cas de mécontentement ou de malentendu du client, d'où la possibilité de recourir à cette médiation.",Article L621-19 du code monétaire et financier + Publication AMF du 25 avril 2017 - Quel est le champ de compétence du Médiateur ?
Cat A - Deontologie et conformite,Quelles sont les missions du responsable de la conformité d'un prestataire de services d'investissement (PSI) ?,Contrôler l'emploi du temps des salariés du PSI,Contrôler le respect par le PSI de ses obligations professionnelles,Prendre en charge les conflits entre les professionnels et leurs clients,B,"Le responsable de la conformité s'assure que le PSI adhère aux normes légales et réglementaires qui régissent son activité, aidant ainsi à prévenir les comportements non conformes et à réduire les risques de sanctions ou de réputation négative pour l'entreprise.",Article 312-1 du Règlement général de l'AMF
Cat A - Deontologie et conformite,Dans quelle situation les 'personnes concernées' sont-elles soumises à des règles particulières ?,Lors de la catégorisation de la clientèle,Lors de transactions personnelles,Lors de la recherche d'informations relatives à la nécessité de connaître son client,B,"Les personnes concernées, souvent des employés ou des dirigeants d'une entreprise, sont soumises à des règles particulières lors de transactions personnelles pour prévenir les conflits d'intérêts et assurer une transparence, notamment en évitant l'usage d'informations non publiques à des fins personnelles.",Article 321-42 à 45 du RG AMF
Cat A - Deontologie et conformite,"Chez un PSI, quelle fonction nécessite une carte professionnelle ?",Opérateur de back-office (post-marché),Contrôleur des risques,Analyste financier,C,L'analyste financier est un poste qui requiert des compétences spécifiques et réglementées pour analyser des informations financières impactant directement les marchés. Une carte professionnelle garantit que l'analyste possède les qualifications et respecte les normes éthiques nécessaires à cette fonction sensible.,Articles 312-20 et 312-36 du RG AMF
Cat A - Deontologie et conformite,"Dans le cadre de la réglementation européenne des transactions personnelles, quelle contrainte réglementaire s'applique à une personne dite''concernée''?",Détenir un compte dans la banque où il travaille,Conserver ses titres trois jours minimum avant de les vendre,Informer sans délai son employeur de toute transaction personnelle réalisée,C,"La réglementation vise à prévenir les conflits d’intérêts et assure une transparence en obligatoire la déclaration immédiate des transactions personnelles par les salariés concernés, pour permettre un contrôle approprié par l'employeur.",Article 29 Règlement délégué (UE) 2017/565 du 25 avril 2016
Cat A - Deontologie et conformite,"Pour les transactions personnelles, quelles informations sur les dispositions prises par le PSI doivent-être communiquées aux personnes concernées ?",Les interdictions et les obligations,Les restrictions et les interdictions,"Les restrictions, les interdictions et les obligations",C,"Les PSI (Prestataires de Services d'Investissement) doivent informer les personnes concernées des restrictions, interdictions et obligations liées aux transactions personnelles pour garantir la transparence et le respect des régulations financières, évitant ainsi les conflits d'intérêts et les pratiques abusives.",Art 222-16 à 222-20 du RG AMF
Cat A - Deontologie et conformite,La procédure de traitement des réclamations au sein des PSI implique que le client puisse d 'abord présenter sa réclamation à son interlocuteur habituel avant de se tourner vers un service dédié au traitement des réclamations. Ce service doit être autant que possible :,Séparé des équipes opérationnelles pouvant être mises en cause,Dirigé par le médiateur interne du PSI de façon indépendante,Contrôlé par les opérationnels pouvant être mis en cause,A,"Séparer le service de traitement des réclamations des équipes opérationnelles aide à garantir l'impartialité et l'objectivité dans l'évaluation des plaintes, évitant ainsi les conflits d'intérêts et renforçant la confiance des clients dans le processus.",Instruction AMF Traitement des réclamations - DOC-2012-07
Cat A - Deontologie et conformite,Une transaction personnelle est une opération réalisée par une personne concernée ou pour son compte :,Lorsque cette personne agit tant dans le cadre de ses fonctions qu'en dehors de ce cadre,Lorsque cette personne agit dans le cadre de ses fonctions,Lorsque cette personne agit en dehors du cadre de ses fonctions,C,"Une transaction personnelle est effectuée pour l'intérêt personnel en dehors des responsabilités professionnelles, distinguant ainsi les actions privées des décisions prises au sein d'une fonction ou d'une entreprise.",RGAMF art. 321-42 I° - Instruction AMF n° 2008-01 et instruction AMF n° 2014-01 art.11.3°
Cat A - Deontologie et conformite,Que doit faire le PSI sollicité pour traiter une opération susceptible de générer un conflit d'intérêts ?,Refuser systématiquement de traiter l'opération en cause,"Prendre, vis-à-vis de certains de ses collaborateurs identifiés comme 'personnes concernées' , des mesures de restriction, d'interdiction et d'abstention",Obtenir un accord préalable de son autorité de tutelle avant de traiter l'opération,B,"Pour prévenir tout abus ou partialité et garantir l'impartialité de l'opération, le PSI doit isoler les collaborateurs potentiellement influencés ou bénéficiaires du conflit d'intérêts par des mesures spécifiques qui limitent leur implication ou accès aux informations pertinentes.",Articles 321-43 + 321-44 + 321-49 du RG AMF
Cat A - Deontologie et conformite,Y a-t-il une différence entre le responsable de la conformité et du contrôle interne (RCCI) et le responsable de la conformité pour les services d'investissement (RCSI) ?,"Oui, le RCCI est responsable de la conformité au sein des sociétés de gestion de portefeuille alors que le RCSI est responsable de la conformité au sein des autres prestataires de services d'investissement","Non, RCCI et RCSI ont la même signification","Oui, le RCSI est responsable de la conformité au sein des sociétés de gestion de portefeuille alors que le RCCI est responsable de la conformité au sein des autres prestataires de services d'investissement",A,"Le RCCI gère la conformité dans les sociétés de gestion de portefeuille, ce qui comprend les aspects réglementaires propres à la gestion d’actifs. Le RCSI, quant à lui, s'occupe de surveiller la conformité dans d'autres types d'entreprises financières, offrant un éventail plus large de services d'investissement.",RG AMF 318-52 et 318-54.
Cat A - Deontologie et conformite,Un Prestataire de Services d'Investissement doit dans son organisation :,Vérifier que les réclamations des clients professionnels sont traitées après les réclamations des clients non-professionnels,Etablir et maintenir opérationnelle une procédure efficace et transparente en vue du traitement raisonnable et rapide des réclamations adressées par ses clients,"Déléguer le traitement des réclamations adressées par ses clients existants ou potentiels à une société externe, indépendante et agréée par l'AMF",B,"Un Prestataire de Services d'Investissement est réglementé pour assurer la protection du consommateur, ce qui implique un mécanisme transparent et efficace pour gérer les réclamations, garantissant ainsi la confiance et la satisfaction des clients dans la gestion de leurs investissements et problématiques.",RÈGLEMENT DÉLÉGUÉ (UE) 2017/565 DE LA COMMISSION du 25 avril 2016 complétant la directive 2014/65/UE du Parlement européen et du Conseil en ce qui concerne les exigences organisationnelles Instruction AMF Traitement des réclamations - DOC-2012-07
Cat A - Deontologie et conformite,Quel est le rôle principal de la fonction de conformité pour un prestataire de services d'investissement (PSI) ?,La validation du Règlement général de l'AMF,Le contrôle et la sanction des manquements,Le contrôle et l'évaluation des procédures,C,"La fonction de conformité d'un PSI assure que l'entreprise adhère aux réglementations et lois applicables, minimisant ainsi les risques légaux et financiers, à travers un contrôle rigoureux de ses procédures internes et pratiques opérationnelles.","RG AMF, art. 312-1."
Cat A - Deontologie et conformite,Les mesures prises par un prestataire de services d'investissement en matière de transactions personnelles ont vocation à s'appliquer :,Aux personnes concernées intervenant dans des activités susceptibles de donner lieu à conflit d'intérêt ou ayant accès à des informations privilégiées ou confidentielles,Exclusivement aux personnes concernées ayant accès à des informations privilégiées ou confidentielles,Exclusivement aux personnes concernées intervenant dans des activités susceptibles de donner lieu à conflit d'intérêt,A,"Les mesures sur les transactions personnelles visent à prévenir les conflits d'intérêt et les abus du marché en régulant les activités des personnes pouvant influencer ou bénéficier d'informations sensibles, assurant ainsi l'intégrité et la transparence du marché financier.",RG AMF 321-43
Cat A - Deontologie et conformite,La saisine de l'AMF (Autorité des Marchés Financiers) pour une médiation relative à une réclamation client :,"La compétence, la formation, l'expérience professionnelle et les moyens dont doivent disposer les collaborateurs",Est faite exclusivement par le Tribunal de Grande Instance,Suspend la prescription de l'action civile et administrative,C,"Lorsqu'un consommateur fait appel à la médiation de l'AMF, cela interrompt de facto les délais de prescription pour entamer ou poursuivre des actions en justice relatives au litige en question, offrant ainsi du temps supplémentaire pour résoudre le différend sans perdre le droit de recours légal.",L 621-19 Code Monétaire et Financier
Cat A - Deontologie et conformite,Dans une société de gestion la fonction de conformité est confiée à :,Un responsable de la conformité et du contrôle interne (RCCI),Un responsable de la conformité et de la sécurité financière (RCSF),Un responsable de la conformité pour les services d'investissement (RCSI),A,"Le RCCI assure le respect des règles et des normes réglementaires, garantissant ainsi que les actions de la société soient conformes à la législation en vigueur, ce qui est crucial pour maintenir l'intégrité et la réputation de l'entreprise dans le secteur financier.",https://www.amf-france.org/Acteurs-et-produits/Responsables-de-la-conformite/Presentation
Cat A - Deontologie et conformite,Les mesures que les prestataires de services d'investissement doivent prendre pour empêcher les conflits d'intérêts de porter atteinte aux intérêts des clients doivent être :,Radicales et appropriées,Radicales,Raisonnables et appropriées,C,"Les mesures doivent être ' raisonnables ' pour garantir qu’elles sont justifiables et efficaces dans la prévention des conflits, et ' appropriées ' pour s'adapter spécifiquement aux risques liés à chaque situation et contexte.",Source L533-10 CMF
Cat A - Deontologie et conformite,Le risque de non conformité s'apprécie :,Au regard des obligations contractuelles de l'établissement,Au regard des causes qui ont provoqué le manquement constaté,Au regard des conséquences qu'il entraine pour l'établissement,C,"Le risque de non-conformité est évalué en fonction des impacts sur l'établissement parce que ces conséquences peuvent inclure des sanctions financières, des pertes de réputation ou des interruptions opérationnelles, affectant directement la viabilité et la performance de l'entreprise.",Arrêté du 3 novembre 2014 relatif au contrôle interne des entreprises du secteur de la banque - Article 277
Cat A - Deontologie et conformite,"Le Prestataire de Services d'Investissement (PSI) doit agir d 'une manière honnête, loyale et professionnelle afin de :",Servir au mieux l 'intérêt du client et respecter l 'intégrité des marchés,Servir l 'intérêt du client quitte à ne pas le dénoncer même s 'il réalise un abus de marché,Servir au mieux ses intérêts propres sans nuire ni aux intérêts du client ni à l 'intégrité du marché,A,"Les PSI sont tenus de suivre ces principes éthiques pour s'assurer que les besoins et intérêts des clients sont prioritaires, favorisant la confiance et la transparence, tout en préservant l'équité et l'efficience des marchés financiers.",Article 314-3 RG AMF
Cat A - Deontologie et conformite,"En cas de litige, un client peut saisir le médiateur de l'AMF en l'absence de réponse de la part du prestataire d'un service financier au bout de :",2 mois,1 mois,3 mois,A,"Le médiateur de l'AMF peut être saisi si le prestataire de services financiers ne répond pas à une réclamation dans un délai de 2 mois, conformément aux procédures réglementaires établies, pour assurer une résolution équitable et efficace des litiges.",Note AMF ' LE MÉDIATEUR DE L'AMF '
Cat A - Deontologie et conformite,Le prestataire de services d'investissement établit et garde opérationnelles des procédures appropriées de contrôle de la circulation et de l'utilisation des informations privilégiées en tenant compte des activités exercées par le groupe auquel il appartient et de l'organisation adoptée au sein de celui-ci. Ces procédures sont dites 'barrières à l'information' ou :,Murs de Berlin,Muraille de Chine,Aucune réponse ne convient,B,"Le terme ' Muraille de Chine ' fait référence aux politiques et mesures de séparation strictes qui empêchent la communication et le partage d'informations sensibles entre différents départements au sein d'une même entreprise, pour éviter les conflits d'intérêts et les abus d'informations privilégiées.",RGAMF art 315-1
Cat A - Deontologie et conformite,"Parmi les fonctions suivantes exercées au sein d'une société de gestion de portefeuille, laquelle nécessite une carte professionnelle délivrée par l'AMF ?",Le gérant d'OPC,Le Responsable de la Conformité et du Contrôle Interne (RCCI),Le responsable du middle-office,B,Le RCCI est chargé de veiller à la conformité des activités de la société avec les réglementations financières. L'Autorité des Marchés Financiers (AMF) exige une carte professionnelle pour garantir que les individus occupant ce poste possèdent les compétences et l'éthique requises pour cette fonction critique.,Instruction AMF DOC 2006-09
Cat A - Deontologie et conformite,"Lorsque les mesures prises pour éviter les conflits d'intérêt ne suffisent pas à garantir que le risque de porter atteinte aux intérêts des clients sera évité, le prestataire informe clairement :",Les clients concernés,Les intermédiaires de marché,L'ACPR,A,"Les clients doivent être informés des conflits d'intérêt résiduels pour pouvoir prendre des décisions éclairées concernant leurs intérêts financiers, conforme à une gestion transparente et responsable par le prestataire.",Règlement Général de l'AMF ART 313-23/313-24
